"vol","price","side","date time"
100,18.85,buy,2024-11-15 09:45:16
"1,200",18.85,buy,2024-11-15 09:45:23
"1,800",18.85,buy,2024-11-15 09:45:30
300,18.85,buy,2024-11-15 09:45:30
500,18.85,buy,2024-11-15 09:45:30
400,18.85,buy,2024-11-15 09:45:30
100,18.85,buy,2024-11-15 09:45:30
"5,000",18.85,buy,2024-11-15 09:45:31
100,18.85,buy,2024-11-15 09:45:36
500,18.85,buy,2024-11-15 09:45:44
400,18.85,buy,2024-11-15 09:45:45
100,18.85,buy,2024-11-15 09:45:47
"5,000",18.8,sell,2024-11-15 09:45:51
500,18.85,buy,2024-11-15 09:45:53
300,18.85,buy,2024-11-15 09:46:00
600,18.8,sell,2024-11-15 09:46:02
500,18.85,buy,2024-11-15 09:46:06
"1,000",18.85,buy,2024-11-15 09:46:37
"3,000",18.85,buy,2024-11-15 09:47:19
100,18.85,buy,2024-11-15 09:47:28
100,18.85,buy,2024-11-15 09:47:30
"3,000",18.8,sell,2024-11-15 09:47:33
500,18.85,buy,2024-11-15 09:47:36
100,18.85,buy,2024-11-15 09:47:45
"4,000",18.85,buy,2024-11-15 09:47:55
"3,300",18.85,buy,2024-11-15 09:47:56
800,18.85,buy,2024-11-15 09:47:56
400,18.85,buy,2024-11-15 09:47:56
200,18.85,buy,2024-11-15 09:47:56
800,18.85,buy,2024-11-15 09:47:56
400,18.85,buy,2024-11-15 09:47:56
600,18.85,buy,2024-11-15 09:47:56
100,18.85,buy,2024-11-15 09:47:56
400,18.85,buy,2024-11-15 09:47:56
"1,500",18.85,buy,2024-11-15 09:47:56
500,18.85,buy,2024-11-15 09:47:56
"40,000",18.85,buy,2024-11-15 09:47:56
600,18.85,buy,2024-11-15 09:47:56
300,18.85,buy,2024-11-15 09:47:56
100,18.85,buy,2024-11-15 09:47:56
200,18.85,buy,2024-11-15 09:48:00
200,18.85,buy,2024-11-15 09:48:00
"1,300",18.85,buy,2024-11-15 09:48:00
400,18.85,buy,2024-11-15 09:48:00
600,18.85,buy,2024-11-15 09:48:00
100,18.85,buy,2024-11-15 09:48:15
